Time, 01/02/2024 15:06:19, X, -523776.56377811905, Y, -5413125.642035418 , Z, 3851303.74463654   , Lat, 0.6161865780325119   , Lon, -1.6672565025375912, Alt, 292993.67036584206 , Bx, [0.85940997] , [-0.51036328], [-0.03072196], By, [-0.01848739], [0.74416441] , [0.66774063] , Bz, [0.47837391] , [0.38872504] , [-0.78743333]
Time, 01/02/2024 15:06:20, X, -167204.99691793002, Y, -5252672.833155768 , Z, 4011606.7748590587 , Lat, 0.651984252316732    , Lon, -1.6026179460534378, Alt, 240468.69608123135 , Bx, [-0.41534443], [-0.75746875], [0.50371628] , By, [-0.12166177], [0.52645916] , [-0.84145063], Bz, [0.30621675] , [0.52031859] , [0.79718245]
Time, 01/02/2024 15:06:21, X, 447666.59054269764 , Y, -5070904.696133376 , Z, 3974782.929158506  , Lat, 0.6629261294634263   , Lon, 1.658849454671042  , Alt, 87589.56332460605  , Bx, [-0.00792358], [-0.99332302], [0.11509386] , By, [-0.36750299], [0.47176719] , [0.80148442] , Bz, [0.8964074]  , [0.19813514] , [-0.39647981]
Time, 01/02/2024 15:06:22, X, 1028383.8474357617 , Y, -5168645.712537347 , Z, 3772059.2141664997 , Lat, 0.6212291735745729   , Lon, 1.767197288101981  , Alt, 109810.33163105883 , Bx, [-0.24562218], [-0.16934087], [0.95445975] , By, [0.80699884] , [-0.55945364], [0.18911501] , Bz, [0.13997431] , [-0.79181399], [-0.59450635]
Time, 01/02/2024 15:06:23, X, 1509243.2996320224 , Y, -4991862.8346157875, Z, 3375856.2792493613 , Lat, 0.5744976619058512   , Lon, 1.864399165872677  , Alt, -158680.34344256762, Bx, [0.42795104] , [-0.69243184], [-0.58085803], By, [0.20418125] , [-0.34848783], [0.91480394] , Bz, [-0.33845561], [0.59386073] , [-0.72991591]
Time, 01/02/2024 15:06:24, X, 1665978.8199949928 , Y, -4812083.77524285  , Z, 3091013.5787622603 , Lat, 0.5455478753319829   , Lon, 1.9040884149228328 , Alt, -413987.2727414742 , Bx, [-0.78037132], [-0.0303182] , [-0.62458099], By, [-0.24954838], [0.51886943] , [-0.81761857], Bz, [-0.98139047], [0.18950028] , [0.03102225]
Time, 01/02/2024 15:06:25, X, 1554440.3951373058 , Y, -4546829.679104408 , Z, 2844110.065824701  , Lat, 0.5344288143719846   , Lon, 1.900213203345315  , Alt, -787192.4156231256 , Bx, [-0.75146559], [0.58811964] , [0.29902299] , By, [-0.40433764], [0.91191851] , [0.07011212] , Bz, [-0.95637318], [0.25798784] , [0.13708615]
Time, 01/02/2024 15:06:26, X, 1440351.8480686198 , Y, -3997977.7705528773, Z, 2833856.028507889  , Lat, 0.5881396292682672   , Lon, 1.916590997288806  , Alt, -1263243.1840992915, Bx, [-0.18017046], [0.8448451]  , [-0.50376121], By, [-0.71870938], [-0.67655695], [0.16039801] , Bz, [-0.34786914], [0.69976628] , [0.62395049]
Time, 01/02/2024 15:06:27, X, 1846632.6132530118 , Y, -3566557.3539878377, Z, 2764091.6230300576 , Lat, 0.6027791061677823   , Lon, 2.0485534045437572 , Alt, -1495491.2195628947, Bx, [0.16145352] , [-0.98661182], [-0.0230191] , By, [0.86683668] , [0.01084289] , [0.49847427] , Bz, [0.99646254] , [-0.06178632], [0.05696367]
Time, 01/02/2024 15:06:28, X, 1843424.1004737804 , Y, -3510491.0650852695, Z, 2638229.4026225256 , Lat, 0.5871030574746287   , Lon, 2.0543362860361185 , Alt, -1608436.1617808118, Bx, [-0.09634441], [0.31183433] , [-0.94523918], By, [-0.94327375], [-0.33181942], [-0.01142369], Bz, [-0.54048371], [-0.84062317], [-0.03507197]
Time, 01/02/2024 15:06:29, X, 2366673.398884111  , Y, -3525592.901387735 , Z, 2806223.2604760574 , Lat, 0.5839754982378782   , Lon, 2.161988599052698  , Alt, -1281222.2768633468, Bx, [0.41934914] , [-0.33268163], [-0.84467108], By, [0.95750035] , [0.27237494] , [-0.09489451], Bz, [0.75583073] , [-0.34246053], [0.55806872]
Time, 01/02/2024 15:06:30, X, 2302796.5039132107 , Y, -3159305.1441302355, Z, 2953860.9480434787 , Lat, 0.6470516037587989   , Lon, 2.2006517698888537 , Alt, -1471063.7521964647, Bx, [-0.68179277], [-0.56363523], [-0.46634101], By, [-0.70502391], [0.63372212] , [-0.31833562], Bz, [-0.81302817], [0.57316169] , [0.10232729]
Time, 01/02/2024 15:06:31, X, 2797581.8574133147 , Y, -3000111.767771017 , Z, 2664778.8187651476 , Lat, 0.5761045599607797   , Lon, 2.3212758482172866 , Alt, -1479356.0001789136, Bx, [-0.07924531], [0.99644783] , [0.02849405] , By, [-0.97758485], [0.05984783] , [0.20185664] , Bz, [0.68768894] , [-0.20092018], [-0.69764962]
Time, 01/02/2024 15:06:32, X, 3116708.3104218203 , Y, -2210914.346831505 , Z, 2329199.831108919  , Lat, 0.5474028247997613   , Lon, 2.524602545712732  , Alt, -1895825.724676677 , Bx, [0.51275061] , [-0.50154219], [0.69680861] , By, [0.37300895] , [-0.78177208], [0.49969665] , Bz, [-0.07423549], [0.95375257] , [-0.29128188]
Time, 01/02/2024 15:06:33, X, 3823185.518166716  , Y, -1126823.043183709 , Z, 2440879.0150441723 , Lat, 0.5494844846841305   , Lon, 2.8549739582848472 , Alt, -1697204.1076815827, Bx, [-0.64018702], [-0.74397527], [-0.19147162], By, [-0.38849895], [-0.86524264], [0.31689704] , Bz, [0.48122485] , [0.59674401] , [0.64212088]
